"Title","Company","Created at","List","Source"
"Principal Data Scientist , Search and Personalization (15258) - Canada (Remote)","Getty Images","May 19 2023, 09:00 am","apply to","linkedin.com"
"Trading Application Support Analyst","John Wiley & Sons","May 19 2023, 08:22 am","apply to","linkedin.com"
"Computational Cancer Biologist","Vevo Therapeutics","May 19 2023, 07:00 am","applied","linkedin.com"
"Data Engineer","Aja Hannah","May 19 2023, 07:00 am","applied","linkedin.com"
"Data Analytics Engineer/Specialist","ConocoPhillips","May 19 2023, 06:39 am","applied","indeed.com"
"AI Data Scientist / Scientifique de données en IA","FlightHub","May 19 2023, 06:39 am","applied","indeed.com"
"AI Software Developer / Développeur AI","FlightHub","May 19 2023, 06:39 am","applied","indeed.com"
"Business Analyst, Immedis","Immedis","May 15 2023, 01:38 pm","TRASH","otta.com"
"Customer Data Analyst, TealBook","tealbook","May 15 2023, 01:26 pm","TRASH","otta.com"
"Customer Success Engineer -Solutions","Plotly","May 14 2023, 06:10 pm","TRASH","greenhouse.io"
"Ecommerce & Marketing Data Analyst","Model Mayhem","May 14 2023, 04:53 pm","applied","indeed.com"
"R&D Specialist – Artificial Intelligence","Pomerleau","May 14 2023, 11:21 am","applied","indeed.com"
"Statistical Analyst (Programmer) - clinical trials - FSP model","Syneos Health","May 14 2023, 11:16 am","applied","indeed.com"
"EM Data Analyst","Xylem","May 14 2023, 11:12 am","applied","indeed.com"
"Statistical Data Analyst","Altis Recruitment","May 14 2023, 11:09 am","applied","indeed.com"
"Data Scientist - Statistics","DICE","May 14 2023, 11:09 am","applied","linkedin.com"
"Jr. Data Scientist","U001 Mondelez Global LLC","May 14 2023, 11:01 am","TRASH","myworkdaysite.com"
"Computational Biologist, Database Development, GSC","BC Cancer Agency","May 13 2023, 04:08 pm","applied","indeed.com"
"Environmental Data Analyst","Ecosystem Informatics","May 13 2023, 03:35 pm","TRASH","indeed.com"
"Data Analyst, Business Relationship Management","The Salvation Army Canada and Bermuda","May 13 2023, 03:25 pm","applied","indeed.com"
"Data Analyst, Mid to Senior","Voldex Games","May 13 2023, 03:23 pm","TRASH","indeed.com"
"Market Research and Data Analyst","Banco de Oro","May 13 2023, 03:20 pm","applied","indeed.com"
"Analyst - Cargo Business Intelligence","WestJet","May 13 2023, 03:14 pm","applied","indeed.com"
"Data scientist","National Bank","May 11 2023, 09:09 am","applied","indeed.com"
"Conversational AI Specialist","Wysdom.AI","May 11 2023, 07:44 am","applied","indeed.com"
"Business Intelligence Analyst","Pomerleau","May 10 2023, 01:00 pm","applied","indeed.com"
"Business Intelligence Analyst","MLT Aikins","May 10 2023, 01:00 pm","applied","indeed.com"
"Data Business Analyst","TEKsystems","May 10 2023, 12:58 pm","applied","indeed.com"
"Data Analyst (Two Year Term)","Canadian Light Source","May 10 2023, 12:57 pm","applied","indeed.com"
"Cognitive Data Analyst","Wysdom.AI","May 10 2023, 12:57 pm","applied","indeed.com"
"Junior Data Analyst / Analyste de données junior","FlightHub","May 10 2023, 11:39 am","applied","linkedin.com"
"Data Analyst","PandaPay®","May 10 2023, 11:39 am","applied","linkedin.com"
"Analytics Engineer","MaxAroma","May 10 2023, 11:39 am","applied","linkedin.com"
"Data Scientist","Volta Charging","May 10 2023, 08:57 am","applied","linkedin.com"
"Junior Data Scientist","Sun Life Financial","May 10 2023, 08:55 am","applied","linkedin.com"
"Bio Statistician Now Hiring!","Adecco Staffing, USA","May 10 2023, 06:56 am","applied","indeed.com"
"Data Analytical Scientist","CQ Search Group Ltd.","May 10 2023, 06:54 am","applied","indeed.com"
"Technical Support Engineer","booxi","May 10 2023, 06:50 am","applied","indeed.com"
"Business Analyst","Fundstream","May 10 2023, 06:44 am","TRASH","indeed.com"
"Spécialiste de la visualisation des données / Data Visualization Specialist","PRO Compression","May 10 2023, 06:44 am","applied","indeed.com"
"Data analyst","American Iron and Steel Institute","May 10 2023, 06:42 am","applied","indeed.com"
"Machine Learning Operations Engineer, Sharethrough","Sharethrough","May 09 2023, 11:57 am","applied","otta.com"
"Search Engineer, Brave","Brave Software","May 07 2023, 09:35 am","applied","otta.com"
"Junior Intelligent Automation Developer","Contrôles Laurentide","May 07 2023, 07:45 am","applied","indeed.com"
"Data Scientist (Real Estate, Travel & Marketing)","Rankbreeze","May 07 2023, 07:43 am","TRASH","indeed.com"
"Clinical Research Data Scientist,","Intelliswift","May 07 2023, 07:42 am","applied","indeed.com"
"Business Analyst - Data","Geotab","May 06 2023, 07:47 pm","applied","indeed.com"
"Research Analyst","Engagement Labs","May 06 2023, 07:44 pm","applied","indeed.com"
"Analytics Engineer","Koho","May 06 2023, 10:45 am","TRASH","lever.co"
"Business Operations","WorkOS","May 06 2023, 09:51 am","applied","lever.co"
"Biostatistician","EVERSANA","May 04 2023, 06:29 pm","applied","smartrecruiters.com"
"Scientist, Proteomics Bioinformatics - Cambridge, MA","Johnson & Johnson","May 04 2023, 06:22 pm","applied","taleo.net"
"Research Programmer – Data Scientist","BC Cancer Agency","May 04 2023, 06:21 pm","applied","indeed.com"
"Data Analyst, Data Analytics","Cardinal Health","May 03 2023, 02:38 pm","applied","linkedin.com"
"BI Analyst","Sporty's Pilot Shop","May 03 2023, 06:50 am","applied","lever.co"
"AI Software Developer","Dibbly Inc","May 02 2023, 07:25 pm","applied","indeed.com"
"Data Scientist","Dataiku","May 02 2023, 06:24 pm","applied","indeed.com"
"Data Scientist","Aviva Romm, MD","May 01 2023, 06:03 pm","applied","indeed.com"
"Python Developer [Remote]","Braintrust","May 01 2023, 05:50 pm","applied","linkedin.com"
"Data Analyst","Koho","May 01 2023, 01:32 pm","applied","lever.co"
"Data Scientist,","Cheddar","May 01 2023, 01:31 pm","applied","otta.com"
"Quality Analyst I","Cleerly","May 01 2023, 01:10 pm","applied","linkedin.com"
"Data Application Specialist","LeddarTech- Automotive Software: Low-Level Sensor Fusion & Perception","Apr 30 2023, 03:02 pm","applied","linkedin.com"
"Computational Biologist","Imagia Canexia Health","Apr 30 2023, 02:51 pm","applied","linkedin.com"
"Data Scientist, Prima","Primary Arms","Apr 30 2023, 11:47 am","applied","otta.com"
"Software Engineer, Cint","Cint","Apr 30 2023, 11:47 am","TRASH","otta.com"
"Backend Engineer, symmetrical.ai","symmetrical.ai","Apr 30 2023, 11:46 am","applied","otta.com"
"Senior/Principal Clinical Data Scientist","Syneos Health","Apr 30 2023, 11:45 am","applied","linkedin.com"
"Data Scientist","Hanalytica","Apr 30 2023, 11:45 am","TRASH","linkedin.com"
"Reporting Analyst","LotLinx","Apr 30 2023, 11:43 am","applied","indeed.com"
"Functional Analyst","University of Alberta","Apr 30 2023, 11:42 am","applied","indeed.com"
"AI/ML Engineer","Ground News","Apr 30 2023, 11:39 am","TRASH","indeed.com"
"Data Scientist / AI Engineer","Aya Healthcare","Apr 30 2023, 11:39 am","TRASH","indeed.com"
"Data Scientist","National Lottery","Apr 28 2023, 09:12 pm","applied","linkedin.com"
"Quantitative Analyst","upfeat","Apr 28 2023, 09:09 pm","applied","linkedin.com"
"Quant Researcher / Data Science","Callieres Engenharia","Apr 28 2023, 09:04 pm","applied","linkedin.com"
"Data Analyst","Granify","Apr 28 2023, 08:59 pm","applied","linkedin.com"
"QA Engineer - Automation","Solace and The City","Apr 28 2023, 08:54 pm","applied","indeed.com"
"Data Engineer","Wattpad","Apr 28 2023, 08:52 pm","applied","indeed.com"
"Data Analyst, Growth","Stripe","Apr 28 2023, 06:05 pm","applied","linkedin.com"
"Performance Data Analyst","Metrolinx","Apr 28 2023, 11:07 am","applied","linkedin.com"
"Statistician II","Meetup","Apr 27 2023, 01:33 pm","applied","linkedin.com"
"Data Scientist-SQL/Python","HCL Technologies","Apr 27 2023, 01:32 pm","applied","linkedin.com"
"Ingénieur(e) spécialisé(e) en données / Specialist Data Engineer","Rio Tinto","Apr 27 2023, 01:26 pm","TRASH","csod.com"
"Application Support Analyst","FlexiSpot","Apr 27 2023, 11:42 am","TRASH","indeed.com"
"Data Analyst","Jam City","Apr 27 2023, 11:41 am","applied","indeed.com"
"Data Scientist, Genius Sports","Genius Sports","Apr 27 2023, 11:29 am","applied","otta.com"
"Software Engineer, Canonical","Canonical","Apr 27 2023, 10:51 am","TRASH","otta.com"
"Backend Software Engineer, Gametime","Gametime","Apr 27 2023, 10:51 am","applied","otta.com"
"Machine Learning Engineer, Connectly.ai","Connectly.ai","Apr 27 2023, 10:51 am","applied","otta.com"
"Python Software Engineer / Senior Python Software Engineer, Chainstack","Chainstack","Apr 27 2023, 10:51 am","TRASH","otta.com"
"Data Scientist","Validere","Apr 27 2023, 09:13 am","applied","linkedin.com"
"Data Scientist","J&M Group","Apr 27 2023, 09:07 am","applied","linkedin.com"
"Full-Stack Python Developer","Laplace Insights","Apr 26 2023, 09:10 pm","applied","linkedin.com"
"Python Developer – Market Data (Hybrid)","Morgan Stanley","Apr 26 2023, 04:26 pm","applied","linkedin.com"
"Biostatistician","EVERSANA","Apr 26 2023, 02:45 pm","applied","linkedin.com"
"Data Science Engineer","Stacktics","Apr 26 2023, 02:45 pm","applied","linkedin.com"
"Quantitative Analyst","TradingScreen","Apr 26 2023, 02:44 pm","applied","linkedin.com"
"Software Engineer","Arista Networks","Apr 26 2023, 09:21 am","applied","smartrecruiters.com"
"Backend Engineer (Europe)","Kalepa","Apr 26 2023, 08:55 am","TRASH","greenhouse.io"
"AI Product Engineer, Semgrep","Semgrep","Apr 25 2023, 04:30 pm","applied","otta.com"
"Machine Learning Engineer, Quickchat","Incentivai","Apr 25 2023, 04:05 pm","applied","otta.com"
"Python Backend Engineer (Growth team)","AppFollow","Apr 25 2023, 03:54 pm","TRASH","lever.co"
"Data Analyst, 7shifts","7shifts","Apr 25 2023, 03:29 pm","Rejected after interview","otta.com"
"Data Scientist - Hybrid","Environics Analytics","Apr 24 2023, 09:38 pm","applied","linkedin.com"
"Data Analyst","Geotab","Apr 23 2023, 05:03 pm","applied","indeed.com"
"Bioinformatics Analyst","DNAstack","Apr 22 2023, 03:44 pm","applied","linkedin.com"
"Data Analyst (Product)","Pixieset","Apr 21 2023, 04:26 pm","applied","indeed.com"
"Data Analyst","TouchTunes","Apr 21 2023, 01:31 pm","TRASH","indeed.com"
"Data Engineer","TouchTunes","Apr 21 2023, 01:30 pm","TRASH","indeed.com"
"Data Engineer / Data Analyst","GameAddik","Apr 21 2023, 09:42 am","TRASH","linkedin.com"
"Associate, Statistical Data Scientist (programmer)","Pfizer","Apr 21 2023, 08:58 am","TRASH","linkedin.com"
"Data Analyst","Showbie","Apr 20 2023, 03:55 pm","applied","indeed.com"
"Data Scientist","ShyftLabs","Apr 20 2023, 09:02 am","applied","linkedin.com"
"Automation Scripting and Web Portal Developer","NCRI-FAC","Apr 19 2023, 08:23 pm","applied","indeed.com"
"Research Analyst / Analyste de recherche","Data Sciences International","Apr 19 2023, 08:21 pm","TRASH","indeed.com"
"Junior/intern Data Scientist","PMG Intelligence","Apr 19 2023, 12:56 pm","applied","indeed.com"
"FME / Oracle / Python GIS Developer","Fujitsu","Apr 18 2023, 08:10 pm","applied","linkedin.com"
"Data Analyst","Sanimax","Apr 18 2023, 04:40 pm","applied","indeed.com"
"Analytics Consultant","Convverge","Apr 18 2023, 04:39 pm","TRASH","indeed.com"
"Functional IT Analyst - Supply Chain","RONA","Apr 18 2023, 03:03 pm","TRASH","indeed.com"
"Data Analyst"," data.ai","Apr 18 2023, 01:22 pm","TRASH","indeed.com"
"Software Developer - Backend","Native Touch","Apr 18 2023, 10:15 am","TRASH","indeed.com"
"Backend Developer - LOGO.com","Logo.com","Apr 18 2023, 10:14 am","applied","indeed.com"
"Python Developer Test (English version)","Averna","Apr 18 2023, 10:13 am","applied","indeed.com"
"Analyste en assurance qualité et en automatisation / Quality assurance and automation analyst","OPAL-RT TECHNOLOGIES","Apr 18 2023, 10:12 am","TRASH","indeed.com"
"Technical Support Engineer","booxi","Apr 18 2023, 10:12 am","TRASH","indeed.com"
"CRM Data Scientist","Browns Shoes","Apr 18 2023, 10:03 am","TRASH","linkedin.com"
"Cheminformatician/Python Backend Developer ","Insilico Medicine","Apr 18 2023, 10:01 am","applied","insilico.com"
"Data Analyst","Zymewire","Apr 18 2023, 09:50 am","Rejected after interview","indeed.com"
"Python Developer (AI Applications)","UKG","Apr 17 2023, 07:31 pm","applied","linkedin.com"
"Scientific Software Developer","Chemical Computing Group","Apr 17 2023, 07:31 pm","applied","linkedin.com"
"Analyst, Data, Analytics & Insights I Operational Insights","TD","Apr 17 2023, 06:18 pm","TRASH","-"
"Business Analyst, SIS","Concordia University","Apr 17 2023, 06:16 pm","applied","-"
"Analyst, FIS Support","Concordia University","Apr 17 2023, 06:15 pm","applied","-"
"Analyst Technology Services","Concordia University","Apr 17 2023, 06:15 pm","applied","-"
"Scientist II, Data Extraction","BenchSci","Apr 17 2023, 06:12 pm","TRASH","lever.co"
"Machine Learning Engineer","Synechron","Apr 17 2023, 06:08 pm","applied","indeed.com"
"Data Specialist","OrderEase","Apr 17 2023, 06:08 pm","Rejected after interview","indeed.com"
"Product Support Analyst","Central Michigan University","Apr 17 2023, 06:05 pm","applied","indeed.com"
"Performance Analyst – Hydroelectric energy","Innergex","Apr 17 2023, 06:05 pm","applied","indeed.com"
"Data Analyst, Business Optimisation","VOSKER","Apr 17 2023, 06:05 pm","applied","indeed.com"
"Data Scientist","PROFICIENTMANAGEMENT","Apr 17 2023, 06:05 pm","applied","indeed.com"
"Statistician","Charlton Morris","Apr 17 2023, 06:04 pm","TRASH","linkedin.com"